link,name,hall_of_fame,active_player,years_played,career_batting_average,career_hits,career_HRs,career_WAR,career_RBIs,career_runs,career_OBP,career_SLG,career_OPS,world_series_wins,golden_glove_awards,mvps,career_hitting_titles,silver_slugger_awards,all_star_apps
http://www.baseball-reference.com/players/a/alexani01.shtml,Nin Alexander,False,False,1,.130,9,0,-0.7,,2,.143,.130,.273,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexasp01.shtml,Spencer Alexander,False,False,2,.176,12,1,-0.3,6,13,.263,.279,.543,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alexawa01.shtml,Walt Alexander,False,False,5,.188,76,1,1.0,24,26,.271,.254,.525,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alfarja01.shtml,Jason Alfaro,False,False,1,.182,2,0,-0.2,0,1,.182,.182,.364,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alfarjo01.shtml,Jorge Alfaro,False,True,6,.258,332,40,2.2,154,125,.309,.399,.707,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alfonan02.shtml,Ángel Alfonso,False,False,7,.275,321,16,5.0,157,200,.357,.397,.755,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alfoned01.shtml,Edgardo Alfonzo,False,False,12,.284,1532,146,28.8,744,777,.357,.425,.782,0,0,0,0,1,1
http://www.baseball-reference.com/players/a/alfonel01.shtml,Eliezer Alfonzo,False,False,6,.240,142,17,0.0,67,44,.271,.377,.648,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alforan01.shtml,Anthony Alford,False,True,5,.208,45,8,0.0,20,25,.275,.370,.646,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alicelu01.shtml,Luis Alicea,False,False,13,.260,1031,47,11.9,422,551,.346,.369,.715,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allanan01.shtml,Andy Allanson,False,False,8,.240,357,16,0.8,140,145,.283,.310,.594,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenal01.shtml,Alex Allen,False,False,1,.000,0,0,-0.1,0,0,.000,.000,.000,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenau01.shtml,Austin Allen,False,True,3,.212,22,2,-0.4,7,7,.261,.317,.579,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenbe01.shtml,Bernie Allen,False,False,12,.239,815,73,9.3,352,357,.314,.357,.671,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenbo01.shtml,Bob Allen,False,False,7,.241,534,14,11.6,306,338,.334,.335,.669,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenbo02.shtml,Bob Allen,False,False,1,.136,3,0,-0.4,0,3,.269,.182,.451,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenbr01.shtml,Brandon Allen,False,False,4,.203,70,12,-1.0,41,44,.290,.375,.665,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenbu01.shtml,Buddy Allen,False,False,1,.333,8,0,0.1,4,5,.360,.375,.735,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allench01.shtml,Chad Allen,False,False,7,.269,229,14,-1.7,84,102,.321,.389,.710,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allendi01.shtml,Dick Allen,False,False,15,.292,1848,351,58.7,1119,1099,.378,.534,.912,0,0,1,0,0,7
