link,name,hall_of_fame,active_player,years_played,career_era,career_whip,career_ip,career_wl,career_wins,career_so,career_war,career_saves,world_series_wins,cy_young_awards,mvps,era_titles,all_star_apps
http://www.baseball-reference.com/players/t/trinkke01.shtml,Ken Trinkle,False,False,5,3.74,1.493,435.1,.420,21,130,4.0,21,0,0,0,0,0
http://www.baseball-reference.com/players/t/trivilo01.shtml,Lou Trivino,False,True,4,3.70,1.273,231.0,.528,19,232,2.0,26,0,0,0,0,0
http://www.baseball-reference.com/players/t/trlicri01.shtml,Ricky Trlicek,False,False,5,5.23,1.568,125.2,.385,5,66,-0.3,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/troedri01.shtml,Rich Troedson,False,False,2,4.74,1.509,171.0,.444,8,92,0.1,2,0,0,0,0,0
http://www.baseball-reference.com/players/t/trombmi01.shtml,Mike Trombley,False,False,11,4.48,1.406,795.2,.440,37,672,9.1,44,0,0,0,0,0
http://www.baseball-reference.com/players/t/troncra01.shtml,Ramón Troncoso,False,False,5,4.00,1.438,227.1,.429,9,159,0.8,6,0,0,0,0,0
http://www.baseball-reference.com/players/t/tropeni01.shtml,Nick Tropeano,False,True,7,4.22,1.373,241.0,.500,14,214,1.7,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/troskha02.shtml,Hal Trosky,False,False,1,6.00,2.333,3.0,1.000,1,1,-0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/trottbi01.shtml,Bill Trotter,False,False,7,5.40,1.641,483.1,.393,22,158,-0.8,3,0,0,0,0,0
http://www.baseball-reference.com/players/t/troutdi01.shtml,Dizzy Trout,False,False,15,3.23,1.353,2725.2,.514,170,1256,49.8,38,1,0,0,1,2
http://www.baseball-reference.com/players/t/troutst01.shtml,Steve Trout,False,False,12,4.18,1.494,1501.1,.489,88,656,13.4,4,0,0,0,0,0
http://www.baseball-reference.com/players/t/trowbbo01.shtml,Bob Trowbridge,False,False,5,3.95,1.453,330.1,.500,13,201,0.3,5,1,0,0,0,0
http://www.baseball-reference.com/players/t/troybu01.shtml,Bob Troy,False,False,1,5.40,1.800,6.2,.000,0,1,0.0,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/troydo01.shtml,Donald Troy,False,False,2,3.09,1.271,87.1,.600,6,42,1.5,0,0,0,0,1,0
http://www.baseball-reference.com/players/t/truckvi01.shtml,Virgil Trucks,False,False,17,3.39,1.306,2682.1,.567,177,1534,40.5,30,1,0,0,0,2
http://www.baseball-reference.com/players/t/trujijj01.shtml,J.J. Trujillo,False,False,1,10.13,3.750,2.2,.000,0,3,-0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/trujimi01.shtml,Mike Trujillo,False,False,5,5.02,1.513,234.2,.500,12,96,0.5,3,0,0,0,0,0
http://www.baseball-reference.com/players/t/trumbed01.shtml,Ed Trumbull,False,False,1,4.71,1.655,84.0,.100,1,43,-2.8,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tsamige01.shtml,George Tsamis,False,False,1,6.19,1.654,68.1,.333,1,30,-0.7,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/tsaoch01.shtml,Chin-hui Tsao,False,False,6,5.75,1.495,97.0,.455,5,67,0.0,4,0,0,0,0,0
http://www.baseball-reference.com/players/t/tsengje01.shtml,Jen-Ho Tseng,False,False,2,9.00,1.375,8.0,1.000,1,11,-0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tsitojo01.shtml,John Tsitouris,False,False,11,4.13,1.377,663.0,.472,34,432,1.1,3,0,0,0,0,0
http://www.baseball-reference.com/players/t/tuckery01.shtml,Ryan Tucker,False,False,2,8.14,1.881,42.0,.400,2,32,-1.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tucket.01.shtml,T.J. Tucker,False,False,5,4.57,1.469,228.2,.591,13,140,0.6,4,0,0,0,0,0
http://www.baseball-reference.com/players/t/tucketo02.shtml,Tom Tuckey,False,False,2,3.49,1.266,162.2,.200,3,42,-0.8,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tudorjo01.shtml,John Tudor,False,False,12,3.12,1.198,1797.0,.619,117,988,34.2,1,1,0,0,0,0
http://www.baseball-reference.com/players/t/tueroos01.shtml,Óscar Tuero,False,False,3,2.88,1.137,199.2,.400,6,58,0.5,4,0,0,0,0,0
